conc,ros,alpha
0,24.2916667,0
0,36.375,0
0,24.2916667,0
0,18.4583333,0
0,26.2560484,0
50,82.625,1
50,75.125,1
50,76.375,1
50,80.5416667,1
50,74.535528,1
5,84.9583333,1
5,79.2916667,1
5,73.4583333,1
5,72.2083333,1
5,78.9063574,1
0.5,48.0416667,0.6
0.5,43.0416667,0.6
0.5,38.2083333,0.6
0.5,45.5416667,0.6
0.5,35.4453616,0.6
0.05,28.0416667,0.4
0.05,31.7916667,0.4
0.05,29.2916667,0.4
0.05,23.2083333,0.4
0.05,36.5233548,0.4
0.005,34.7083333,0.2
0.005,23.4583333,0.2
0.005,36.375,0.2
0.005,23.0416667,0.2
0.005,26.9932504,0.2