time,conc,ros
0,0,22.1318257
0,0,18.04846939
0,0,19.64285714
0,5,16.03210454
0,5,28.10108418
0,5,12.87893798
0,50,15.0872093
0,50,21.77072801
0,50,25.97685416
5,0,17.21938776
5,0,20.22150324
5,0,26.78571429
5,5,20.96582819
5,5,24.62031324
5,5,22.55763416
5,50,23.54651163
5,50,26.34345195
5,50,17.40310078
10,0,20.37705326
10,0,14.77571227
10,0,13.90306122
10,5,31.51260504
10,5,34.40766551
10,5,31.39097744
10,50,20.25810324
10,50,23.44186047
10,50,34.08728895
15,0,24.33673469
15,0,15.09353741
15,0,21.73573511
15,5,39.04478458
15,5,47.88171813
15,5,33.18688587
15,50,46.86552073
15,50,32.55907626
15,50,40.06470368
30,0,20.96619898
30,0,18.757503
30,0,18.91646489
30,5,32.59637188
30,5,26.86712983
30,5,24.38220186
30,50,30.38033395
30,50,29.04696762
30,50,36.3092576
45,0,15.65972924
45,0,19.25935937
45,0,21.49834293
45,5,25.16074923
45,5,23.24263039
45,5,15.36039948
45,50,26.64178118
45,50,32.26696084
45,50,30.32375741
60,0,16.64935886
60,0,12.68725575
60,0,20.35501701
60,5,18.18549202
60,5,14.93602622
60,5,20.96938776
60,50,33.74132904
60,50,24.8291064
60,50,30.96160945