treatment,methylation,ros
ctl,natural,25.42735043
ctl,natural,15.08295626
ctl,natural,28.84615385
ctl,natural,32.31399748
ctl,natural,24.47552448
ctl,methylated,24.66977467
ctl,methylated,17.75147929
ctl,methylated,26.51821862
ctl,methylated,28.10650888
ctl,methylated,24.54991817
ctl,pcr,26.01809955
ctl,pcr,13.71705218
ctl,pcr,27.47252747
ctl,pcr,24.83343428
ctl,pcr,23.52700491
col,natural,48.98785425
col,natural,51.98938992
col,natural,72.86192069
col,natural,52.69533616
col,natural,58.33763552
cvi,natural,49.75579976
cvi,natural,39.9408284
cvi,natural,58.89423077
cvi,natural,34.4292804
cvi,natural,40.9035409
br,natural,40.20979021
br,natural,31.30114566
br,natural,43.7905468
br,natural,47.36467236
br,natural,33.00248139
col,methylated,35.63348416
col,methylated,51.58912943
col,methylated,34.99132447
col,methylated,44.82359746
col,methylated,43.68932039
cvi,methylated,52.5987526
cvi,methylated,40.07530931
cvi,methylated,37.16216216
cvi,methylated,32.46484698
cvi,methylated,48.07692308
br,methylated,38.65384616
br,methylated,26.31578947
br,methylated,37.09488481
br,methylated,50.48076923
br,methylated,36.13595707
col,pcr,46.3800905
col,pcr,45.10237963
col,pcr,38.21499014
col,pcr,48.69268663
col,pcr,32
cvi,pcr,34.94371482
cvi,pcr,46.2543992
cvi,pcr,44.03846154
cvi,pcr,53.54449473
cvi,pcr,36.37447823
br,pcr,41.40127389
br,pcr,41.31054131
br,pcr,47.25992961
br,pcr,29.54004758
br,pcr,37.27445394