treatment,time,ja
ctrl,0,5.334317661
ctrl,0,2.531896902
ctrl,0,4.934849586
ctrl,0,3.933107281
ctrl,0,3.733373244
col,0,4.235088277
col,0,2.148777658
col,0,5.264072644
col,0,3.191932967
col,0,3.706425151
cvi,0,4.138896319
cvi,0,4.096187965
cvi,0,4.267021383
cvi,0,4.117542142
cvi,0,4.181604674
br,0,2.882646193
br,0,4.138896319
br,0,3.267021383
br,0,3.510771256
br,0,3.702958851
ctrl,15,4.815626681
ctrl,15,6.17068965
ctrl,15,5.829449451
ctrl,15,5.493158166
ctrl,15,6.000069551
col,15,7.844735657
col,15,11.27103123
col,15,11.03843054
col,15,9.557883442
col,15,11.15473088
cvi,15,8.83106785
cvi,15,9.409546336
cvi,15,13.19871811
cvi,15,9.120307093
cvi,15,11.30413222
br,15,8.231914359
br,15,10.82862131
br,15,8.380445623
br,15,9.530267837
br,15,9.604533469
ctrl,30,3.687027908
ctrl,30,5.018195464
ctrl,30,5.032503763
ctrl,30,4.352611686
ctrl,30,5.025349613
col,30,15.06940932
col,30,16.61913891
col,30,17.70190888
col,30,15.84427412
col,30,17.1605239
cvi,30,14.48709304
cvi,30,12.04347882
cvi,30,12.66504249
cvi,30,13.26528593
cvi,30,12.35426065
br,30,8.377209121
br,30,10.70243654
br,30,7.225001107
br,30,9.539822831
br,30,8.963718823
ctrl,45,3.336606988
ctrl,45,5.48839849
ctrl,45,4.479524451
ctrl,45,4.412502739
ctrl,45,4.98396147
col,45,6.298647414
col,45,9.556104624
col,45,4.424092734
col,45,7.927376019
col,45,6.990098679
cvi,45,8.364772139
cvi,45,9.58617
cvi,45,8.205050381
cvi,45,8.975471069
cvi,45,8.89561019
br,45,11.09936703
br,45,8.935685703
br,45,8.233910737
br,45,10.01752637
br,45,8.58479822
ctrl,60,5.046831703
ctrl,60,2.689385096
ctrl,60,1.642117127
ctrl,60,3.8681084
ctrl,60,2.165751111
col,60,2.32804719
col,60,3.337695963
col,60,5.827570864
col,60,2.832871577
col,60,4.582633414
cvi,60,6.131773312
cvi,60,7.836152268
cvi,60,2.340553925
cvi,60,6.98396279
cvi,60,5.088353096
br,60,1.96818588
br,60,1.873703037
br,60,3.384041741
br,60,1.920944458
br,60,2.628872389